hr_mean,hr_std,label
116.48,17.74,Abnormal
66.41,6.55,Abnormal
113.17,23.59,Abnormal
70.4,1.42,Abnormal
65.81,1.39,Abnormal
61.39,36.47,Abnormal
102.84,29.51,Abnormal
63.38,6.15,Abnormal
82.71,9.99,Abnormal
93.38,46.08,Abnormal
79.27,16.78,Abnormal
198.44,2.02,Abnormal
79.14,44.45,Abnormal
77.09,4.29,Abnormal
92.4,16.94,Abnormal
82.92,21.64,Abnormal
106.18,1.45,Abnormal
70.45,13.0,Abnormal
68.54,12.46,Abnormal
95.1,16.98,Abnormal
104.85,10.78,Abnormal
80.12,25.88,Abnormal
47.89,1.52,Abnormal
69.4,13.26,Abnormal
63.5,23.48,Abnormal
101.84,3.21,Abnormal
80.95,7.74,Abnormal
67.59,34.37,Abnormal
65.51,3.22,Abnormal
59.44,6.55,Abnormal
77.59,15.0,Abnormal
69.34,30.68,Abnormal
86.95,22.5,Abnormal
92.84,16.99,Abnormal
98.54,8.32,Abnormal
58.71,9.44,Abnormal
54.95,2.79,Abnormal
81.6,2.91,Abnormal
78.65,18.76,Abnormal
79.72,27.32,Abnormal
61.01,12.84,Abnormal
48.47,2.03,Abnormal
67.0,10.29,Abnormal
80.49,23.34,Abnormal
114.09,13.71,Abnormal
108.8,29.71,Abnormal
101.65,16.9,Abnormal
64.62,12.5,Abnormal
108.82,24.9,Abnormal
106.81,22.47,Abnormal
60.85,1.3,Abnormal
101.71,12.15,Abnormal
71.26,26.4,Abnormal
54.36,22.73,Abnormal
72.03,30.3,Abnormal
133.52,23.91,Abnormal
66.37,16.04,Abnormal
66.5,7.01,Abnormal
51.88,11.49,Abnormal
81.23,17.72,Abnormal
62.13,20.32,Abnormal
65.11,3.5,Abnormal
52.31,1.13,Abnormal
57.25,1.34,Abnormal
64.22,18.52,Abnormal
128.3,25.69,Abnormal
59.84,6.78,Abnormal
70.59,19.32,Abnormal
77.49,18.41,Abnormal
106.98,5.28,Abnormal
70.19,5.34,Abnormal
91.47,16.82,Abnormal
78.89,25.56,Abnormal
83.81,14.92,Abnormal
76.66,13.38,Abnormal
56.82,10.4,Abnormal
72.43,17.28,Abnormal
71.27,28.29,Abnormal
64.85,10.89,Abnormal
87.42,22.65,Abnormal
57.34,33.54,Abnormal
92.44,26.25,Abnormal
56.21,8.1,Abnormal
80.6,29.29,Abnormal
51.14,5.58,Abnormal
108.98,17.06,Abnormal
70.71,11.07,Abnormal
56.6,15.36,Abnormal
103.44,9.47,Abnormal
71.89,13.67,Abnormal
70.6,14.25,Abnormal
58.86,20.17,Abnormal
57.42,37.15,Abnormal
90.38,26.49,Abnormal
54.83,16.14,Abnormal
64.45,1.97,Abnormal
65.23,11.64,Abnormal
53.36,4.0,Abnormal
71.7,4.97,Abnormal
76.58,24.52,Abnormal
72.16,25.41,Abnormal
65.8,15.64,Abnormal
69.88,6.73,Abnormal
77.76,10.19,Abnormal
57.74,6.82,Abnormal
54.2,6.61,Abnormal
100.06,4.1,Abnormal
75.12,14.94,Abnormal
95.26,18.2,Abnormal
72.22,18.38,Abnormal
93.36,30.6,Abnormal
72.85,17.43,Abnormal
62.63,37.9,Abnormal
75.01,17.35,Abnormal
103.54,2.96,Abnormal
70.42,9.92,Abnormal
106.54,28.88,Abnormal
